2289   550   20.13
2290   530   20.14
2291   510.1   19.9
2292   490   19.9
2293   469.9   20.07
2294   450.1   20.12
2295   429.9   20.09
2296   409.9   20.08
2297   390   20.11
2298   390.1   40.11
2299   410   40.09
2300   430.2   40.1
2301   450   40.06
2302   470.1   40.05
2303   490.1   40.05
2304   510   40.04
2305   530   40.02
2306   549.9   40.04
2307   549.9   59.92
2308   530.1   59.98
2309   510   59.97
2310   489.9   60
2311   469.9   60.02
2312   450   60.02
2313   429.9   60
2314   410   59.99
2315   389.9   59.98
2316   390.2   79.92
2317   410.1   79.91
2318   429.9   79.93
2319   450   79.93
2320   470.1   79.93
2321   490.1   79.94
2322   510   79.95
2323   529.9   79.96
2324   549.9   79.96
2325   549.9   100.1
2326   530.1   100.1
2327   510.1   100.1
2328   489.9   100.1
2329   469.9   100
2330   450.1   100.1
2331   429.9   100.1
2332   410   100.1
2333   390   100.1
2334   390.1   120
2335   409.9   120
2336   430.1   120
2337   449.9   120
2338   470.1   119.9
2339   489.9   119.9
2340   510   120
2341   530   120
2342   550   119.9
2343   550.2   140
2344   530.1   140
2345   510   140
2346   489.9   140
2347   469.9   140
2348   450   140
2349   429.9   140
2350   409.9   140
2351   390.1   140
2352   390.1   159.9
2353   410.1   159.9
2354   430.1   159.9
2355   450   159.9
2356   470.1   159.9
2357   490.1   159.9
2358   509.9   159.9
2359   530   159.9
2360   549.9   159.9
