878   498.9   168.1
879   468   167.9
880   437.1   167.9
881   406.9   167.9
883   406.9   200
884   436.9   200
885   468   200
886   499.1   200
888   499   231.1
889   467.7   231.1
891   437   231.1
892   407   231.1
893   407   262.1
895   437   262.1
896   468   262.1
898   499.1   262.1
899   466.7   178.9
900   1080   259.1
901   431.1   98.87
902   450.9   98.87
903   471.1   98.87
904   491.2   98.86
905   510.9   98.9
906   531   98.9
907   551   98.89
908   570.9   98.92
909   590.9   98.93
910   590.9   119
912   571   119
913   551.1   119
914   531.2   119
915   511.1   119
916   490.9   119
918   470.8   119
919   451   119
920   430.9   119
922   431.1   119
923   431.1   139.1
926   450.9   139.1
927   471.1   139.1
928   491.1   139.1
929   511.2   139.1
930   531   139.1
931   551.1   139.1
932   571.2   139.1
933   591   139.1
934   591   159
935   571   159
936   551.2   159
937   531.1   159
938   511.1   159
939   490.9   159
940   470.9   159
941   451.1   159
942   431   159
943   431   179.1
944   451.1   178.9
945   471   178.9
946   491.3   178.9
947   491   179
948   511.2   179
949   531.2   179
950   551.1   179
951   571   179
952   591.1   179
953   590.9   199
954   571   199
955   550.9   199
956   530.8   199
957   510.9   199
958   490.9   199
959   471   199
960   450.9   199
961   430.9   199
963   431   219.1
964   451.1   219.1
965   471   219.1
967   491.1   219.1
969   511.1   218.9
970   531.1   218.9
972   551   218.9
974   570.9   218.9
976   591.1   219
977   590.8   239.1
978   571   239.1
979   551.2   239.1
980   531.1   239.1
981   510.8   239
982   490.9   239.1
983   470.9   239.1
984   451   239.1
985   430.9   239.1
986   430.9   259.1
987   451   259.1
988   471.2   259.1
989   491.2   259.1
990   511   259.1
991   531.1   259.1
992   551   259.1
993   571   259.1
994   591   259.1
995   435.1   71.91
996   455.2   71.93
997   475.1   71.93
998   495   71.94
999   514.9   71.92
1000   535.1   71.95
1001   555   71.88
1002   575   71.88
1003   594.9   71.87
1004   594.9   91.93
1005   575.1   91.93
1007   555   91.94
1008   535   91.92
1009   515   91.92
1010   494.9   91.89
1011   475.1   91.91
1012   455   91.9
1013   435.1   91.9
1014   435   112.1
1015   455.1   112.1
1016   475.3   112.1
1017   494.9   112.1
1018   514.9   112.1
1019   535.3   112.1
1020   555   112.1
1021   575   112.1
1022   595   112.1
1024   595   132.1
1026   575   132.1
1027   575.1   132
1028   554.8   132
1029   535   132
1030   514.9   132
1031   494.8   132
1032   475.1   132
1033   454.9   132
1034   435   132
1035   435   152.1
1036   455.1   152.1
1037   475   152.1
1038   495   152.1
1039   514.9   152.1
1040   534.9   152.1
1041   554.9   152.1
1042   575   152.1
1043   575.1   151.9
1044   594.9   151.9
1045   595.1   172.1
1046   575.1   172.1
1047   555   172.1
1048   534.9   172.1
1049   514.9   172.1
1050   495.1   172.1
1052   474.9   172.1
1053   474.9   172.1
1054   455   172.1
1055   435   172.1
1056   435   192.1
1057   455.2   192.1
1060   475.1   192.1
1061   495   192.1
1062   495   192.1
1063   514.9   192.1
1064   534.8   192.1
1065   554.9   192.1
1066   575.1   192.1
1067   594.9   192.1
1068   594.9   212.1
1069   575.1   212.1
1070   555   212.1
1071   534.9   212.1
1072   515   212.1
1073   495.1   212.1
1075   474.8   212
1076   454.9   212
1077   435   212
1078   435   231.9
1079   455.2   231.9
1080   475.1   231.9
1081   495.1   231.9 
1082   515   231.9
1083   534.9   231.9
1084   555.1   231.9
1085   575.1   231.9
1086   595   231.9
1087   1081   84.88
